Ticks,houses_avg_endoftick,houses_at_setup,links_avg,links_med,links_max,links_min,buyout_ratio_avg,buyout_ratio_med,buyout_ratio_max,buyout_ratio_min,holdout_ratio_avg,holdout_ratio_med,holdout_ratio_min,holdout_ratio_max,successes_avg,fail_rate,pct_houses_bought,buyout_roc
38,894.1692307692308,1080,147.2,148,150,145,1.1369829076923077,1.100357,2.611393,0.562988,1,1,1,1,186.06153846153848,0.5384615384615384,0.827934472934473,0.9731005766151223
39,885.6307692307693,1080,144.72307692307692,145,147,140,1.106398723076923,1.071555,2.069962,0.568155,1,1,1,1,194.6,0.5076923076923077,0.8200284900284901,1.0585814085060532
40,879.4745762711865,1080,143.27118644067798,141,147,139,1.1712131186440677,0.981733,3.599987,0.460283,1,1,1,1,200.67796610169492,0.6949152542372881,0.8143283113622097,1.162856392303273
41,871.8235294117648,1080,142.05882352941177,146,147,137,1.361952661764706,1.159836,3.845364,0.500214,1,1,1,1,208.44117647058823,0.5,0.807244008714597,0.8290334793157594
42,864.6615384615385,1080,138.8153846153846,138,146,129,1.1291043538461538,1.022573,2.184418,0.46917,1,1,1,1,215.56923076923076,0.5076923076923077,0.8006125356125356,1.0249229522496517
43,857.0967741935484,1080,136.43548387096774,142.5,144,129,1.1572449677419354,1.0691375,2.112459,0.563469,1,1,1,1,223.09677419354838,0.6129032258064516,0.7936081242532855,0.9986509320321508
44,849.796875,1080,135.25,137,143,129,1.155683765625,1.130838,1.97954,0.614032,1,1,1,1,230.421875,0.5625,0.7868489583333333,0.9574629976951665
45,846,1080,133.31147540983608,131,139,129,1.1065244426229508,1.03879,2.041353,0.590057,1,1,1,1,234.18032786885246,0.639344262295082,0.7833333333333333,1.0405015180592452
46,837.1449275362319,1080,131.43478260869566,133,136,127,1.1513403623188405,1.125731,1.827685,0.58834,1,1,1,1,243.1304347826087,0.4492753623188406,0.7751341921631777,0.8482860509326097
47,829.9076923076923,1080,128.27692307692308,127,133,123,0.9766659692307692,0.94533,1.85656,0.407811,1,1,1,1,250.3230769230769,0.5538461538461539,0.7684330484330484,1.2267780910570776
48,820.3066666666666,1080,124.14666666666666,121,130,119,1.1981524133333334,1.139566,2.298893,0.5719,1,1,1,1,260.02666666666664,0.33333333333333337,0.7595432098765431,0.9633478450737214
